DateTime,Latitude,Longitude,Electric Power System > Energy Storage Main > 1 > Battery Space > Power,Electric Power System > Energy Storage Main > 1 > Battery Space > State of Charge,Electric Power System > Generator Set > 1 > Engine > Fuel Rate,Electric Power System > Generator Set > 1 > Engine > Load percentage,Electric Power System > Generator Set > 1 > Engine > Speed,Electric Power System > Generator Set > 1 > Engine > Torque percentage,Electric Power System > Generator Set > 2 > Engine > Fuel Rate,Electric Power System > Generator Set > 2 > Engine > Load percentage,Electric Power System > Generator Set > 2 > Engine > Speed,Electric Power System > Generator Set > 2 > Engine > Torque percentage,Navigation and Communication > Navigation Data > Location Current > Speed Over Ground,Propulsion and Steering > Propulsion Main Electric > Port > Inverter > Power,Propulsion and Steering > Propulsion Main Electric > Starboard > Inverter > Power,Propulsion and Steering > Thruster Electric > Port Aft > Inverter > Power,Propulsion and Steering > Thruster Electric > Port Forward > Inverter > Power
2026-03-02 13:28:00,59.92471,5.31337,25.64,56.8,,,,,,,,,,,,,0.0
2026-03-02 13:29:00,59.92472,5.31335,25.67,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 13:30:00,59.92472,5.31337,26.37,,,,,,,,,,0.0,,,,
2026-03-02 13:31:00,59.92471,5.31337,25.06,,,,,,,,,,0.1,,,0.0,
2026-03-02 13:32:00,59.9247,5.31337,21.89,,,,,,,,,,0.06,0.0,0.0,,
2026-03-02 13:33:00,59.92471,5.31337,21.51,56.5,,,,,,,,,0.05,,,,0.0
2026-03-02 13:34:00,59.92471,5.31339,20.72,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 13:35:00,59.92471,5.31339,24.04,,,,,,,,,,0.02,,,,
2026-03-02 13:36:00,59.92473,5.31339,25.29,,,,,,,,,,0.04,,,0.0,
2026-03-02 13:37:00,59.92471,5.31339,24.84,,,,,,,,,,0.02,0.0,0.0,,
2026-03-02 13:38:00,59.9247,5.31338,24.92,56.3,,,,,,,,,0.0,,,,0.0
2026-03-02 13:39:00,59.9247,5.3134,24.56,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 13:40:00,59.92471,5.3134,21.89,,,,,,,,,,0.02,,,,
2026-03-02 13:41:00,59.92471,5.31336,21.05,,,,,,0.0,0.0,0.0,0.0,0.02,,,0.0,
2026-03-02 13:42:00,59.9247,5.31336,20.0,,,,,,,,,,0.02,0.0,0.0,,
2026-03-02 13:43:00,59.92471,5.3134,23.88,56.1,,,,,,,,,,,,,0.0
2026-03-02 13:44:00,59.92471,5.31336,24.67,,0.0,0.0,0.0,0.0,,,,,,,,,
2026-03-02 13:45:00,59.92471,5.31336,24.53,,,,,,,,,,0.05,,,,
2026-03-02 13:46:00,59.92472,5.31336,25.5,,,,,,0.0,0.0,0.0,0.0,,,,0.0,
2026-03-02 13:47:00,59.92472,5.31335,22.99,,,,,,,,,,0.02,0.0,0.0,,
2026-03-02 13:48:00,59.92473,5.31333,22.65,55.9,,,,,,,,,0.06,,,,0.0
2026-03-02 13:49:00,59.92472,5.31338,21.06,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 13:50:00,59.92472,5.31337,22.74,,,,,,,,,,0.02,,,,
2026-03-02 13:51:00,59.92471,5.31337,23.88,,,,,,0.0,0.0,0.0,0.0,,,,0.0,
2026-03-02 13:52:00,59.92471,5.31337,22.11,,,,,,,,,,0.03,0.0,0.0,,
2026-03-02 13:53:00,59.92471,5.31334,21.07,55.8,,,,,,,,,0.03,,,,0.0
2026-03-02 13:54:00,59.92472,5.31335,18.73,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 13:55:00,59.9247,5.31338,18.39,,,,,,,,,,0.06,,,,
2026-03-02 13:56:00,59.92471,5.31338,19.39,,,,,,0.0,0.0,0.0,0.0,0.06,,,0.0,
2026-03-02 13:57:00,59.92471,5.31337,22.86,,,,,,,,,,0.02,0.0,0.0,,
2026-03-02 13:58:00,59.9247,5.31336,23.62,55.5,,,,,,,,,,,,,0.0
2026-03-02 13:59:00,59.92472,5.31335,23.54,,0.0,0.0,0.0,0.0,,,,,,,,,
2026-03-02 14:00:00,59.92471,5.31335,24.09,,,,,,,,,,0.05,,,,
2026-03-02 14:01:00,59.92471,5.31334,21.72,,,,,,0.0,0.0,0.0,0.0,0.03,,,0.0,
2026-03-02 14:02:00,59.92472,5.31334,22.77,,,,,,,,,,,0.0,0.0,,
2026-03-02 14:03:00,59.92471,5.31336,21.62,55.3,,,,,,,,,0.05,,,,0.0
2026-03-02 14:04:00,59.92472,5.31333,24.9,,0.0,0.0,0.0,0.0,,,,,0.05,,,,
2026-03-02 14:05:00,59.92471,5.31331,21.36,,,,,,,,,,0.03,,,,
2026-03-02 14:06:00,59.9247,5.31337,21.88,,,,,,,,,,0.02,,,0.0,
2026-03-02 14:07:00,59.9247,5.31335,20.06,,,,,,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,
2026-03-02 14:08:00,59.92471,5.31334,18.88,55.1,,,,,,,,,0.02,,,,0.0
2026-03-02 14:09:00,59.92471,5.31336,19.89,,,,,,,,,,0.05,,,,
2026-03-02 14:10:00,59.92471,5.31335,22.01,,0.0,0.0,0.0,0.0,,,,,0.05,,,,
2026-03-02 14:11:00,59.92471,5.31338,24.31,,,,,,,,,,0.0,,,0.0,
2026-03-02 14:12:00,59.92471,5.31337,21.75,,,,,,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,
2026-03-02 14:13:00,59.9247,5.31338,21.35,54.9,,,,,,,,,0.07,,,,0.0
2026-03-02 14:14:00,59.9247,5.31335,21.48,,,,,,,,,,0.06,,,,
2026-03-02 14:15:00,59.92471,5.31336,18.53,,0.0,0.0,0.0,0.0,,,,,0.06,,,,
2026-03-02 14:16:00,59.92471,5.31334,19.16,,,,,,,,,,0.02,,,0.0,
2026-03-02 14:17:00,59.92471,5.31334,20.71,,,,,,0.0,0.0,0.0,0.0,0.05,,,,
2026-03-02 14:18:00,59.92472,5.31335,22.69,54.7,,,,,,,,,0.06,0.0,0.0,,0.0
2026-03-02 14:19:00,59.9247,5.31334,22.17,,,,,,,,,,0.06,,,,
2026-03-02 14:20:00,59.92471,5.31334,22.53,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 14:21:00,59.9247,5.31335,18.85,,,,,,,,,,0.04,,,0.0,
2026-03-02 14:22:00,59.92471,5.31337,19.19,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
2026-03-02 14:23:00,59.9247,5.31335,19.43,54.6,,,,,,,,,0.05,0.0,0.0,,0.0
2026-03-02 14:24:00,59.92471,5.31334,23.95,,,,,,,,,,0.02,,,,
2026-03-02 14:25:00,59.92471,5.31337,27.45,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 14:26:00,59.9247,5.31334,26.51,,,,,,,,,,0.02,,,0.0,
2026-03-02 14:27:00,59.92471,5.31337,27.63,,,,,,0.0,0.0,0.0,0.0,0.06,,,,
2026-03-02 14:28:00,59.9247,5.31336,25.07,54.2,,,,,,,,,0.0,0.0,0.0,,0.0
2026-03-02 14:29:00,59.92472,5.31336,24.81,,,,,,,,,,0.02,,,,
2026-03-02 14:30:00,59.9247,5.31335,25.1,,0.0,0.0,0.0,0.0,,,,,,,,,
2026-03-02 14:31:00,59.92471,5.31338,26.4,,,,,,,,,,0.05,,,0.0,
2026-03-02 14:32:00,59.92472,5.31339,28.44,,,,,,0.0,0.0,0.0,0.0,,,,,
2026-03-02 14:33:00,59.92471,5.31338,28.18,54.0,,,,,,,,,0.03,0.0,0.0,,0.0
2026-03-02 14:34:00,59.9247,5.31338,27.93,,,,,,,,,,0.02,,,,
2026-03-02 14:35:00,59.9247,5.31336,24.24,,0.0,0.0,0.0,0.0,,,,,0.03,,,,
2026-03-02 14:36:00,59.92472,5.31336,24.46,,,,,,,,,,,,,0.0,
2026-03-02 14:37:00,59.92471,5.31336,25.14,,,,,,0.0,0.0,0.0,0.0,0.02,,,,
2026-03-02 14:38:00,59.9247,5.31335,25.37,53.8,,,,,,,,,0.03,0.0,0.0,,0.0
2026-03-02 14:39:00,59.9247,5.31335,27.1,,,,,,,,,,0.02,,,,
2026-03-02 14:40:00,59.92472,5.31338,27.91,,0.0,0.0,0.0,0.0,,,,,0.03,,,,
2026-03-02 14:41:00,59.92472,5.31337,26.54,,,,,,,,,,0.02,,,0.0,
2026-03-02 14:42:00,59.92472,5.31339,23.19,,,,,,0.0,0.0,0.0,0.0,0.02,,,,
2026-03-02 14:43:00,59.92471,5.31338,21.72,53.6,,,,,,,,,0.06,0.0,0.0,,0.0
2026-03-02 14:44:00,59.9247,5.31336,21.73,,,,,,,,,,0.0,,,,
2026-03-02 14:45:00,59.9247,5.31336,19.15,,0.0,0.0,0.0,0.0,,,,,0.03,,,,
